"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","OpenWeather API Testing","1","0","Get 5-day forecast for valid city","0"
"0","","0","OpenWeather API Testing","1","0","Test SQL injection in city parameter","0"
"0","","0","Contact Form Testing","3","0","Submit contact form with missing required fields","0"
"0","","0","OpenWeather API Testing","1","0","Test weather and forecast integration","0"
"0","","0","Contact Form Testing","2","0","Submit contact form with valid data","0"
"0","","0","Contact Form Testing","1","0","Submit contact form with valid data and wait for success message","0"
"0","","0","OpenWeather API Testing","2","0","Get current weather for valid city","0"
"0","","0","Contact Form Testing","2","0","Submit contact form with valid data in specific browser","0"
"0","","0","OpenWeather API Testing","1","0","Test invalid API key","0"
"0","","0","OpenWeather API Testing","1","0","Get current weather for invalid city","0"
"0","","0","Contact Form Testing","1","0","Verify network logs during form submission","0"
"0","","0","Contact Form Testing","1","0","Test form submission with error occurring","0"
